,price_model,sale_14d,survival_duration,survival_event,max_abs_corr
vehicle_age_months,-0.7949381254187768,0.033599214721660324,0.058978783404843325,0.09993675706902327,0.7949381254187768
mileage_km,-0.7701275962972864,0.020816155600916396,0.04792482351623979,0.056037144275808685,0.7701275962972864
warranty_months,0.6563913482522321,-0.03123810507052778,-0.04400186455984978,-0.04480878764765975,0.6563913482522321
power_kw,0.6376275841718021,0.047375651331835876,-0.035261818233545524,0.01770613201207593,0.6376275841718021
power_hp,0.6376275841718021,0.047375651331835876,-0.035261818233545524,0.01770613201207593,0.6376275841718021
electric_range_km,0.38760650476380976,-0.02077996792495802,0.016050167551994846,-0.0010456859381858634,0.38760650476380976
duration_days,,,,-0.37284380517171545,0.37284380517171545
event_sold_or_removed,,,-0.37284380517171545,,0.37284380517171545
mileage_per_month,-0.3612111394876718,-0.03735657425419744,0.014019566951450804,-0.027877811849745797,0.3612111394876718
has_ahk,0.2519953198467994,0.017370941482676025,-0.03409518762749418,-0.017438644426827733,0.2519953198467994
is_s_line,0.17959799921681138,0.03507041056809951,0.0040913236479742715,0.01167919011722884,0.17959799921681138
is_quattro,0.17052681169793865,0.006106140192682994,-0.004453767716689622,-0.007098603640921165,0.17052681169793865
has_matrix,0.15879043165090564,-0.005365566002710412,0.0045052125965210285,0.0015969958743482335,0.15879043165090564
has_camera,-0.1567065085543989,0.0007713491730242663,-0.02017201417481635,-0.023820847630570567,0.1567065085543989
price_per_hp,,-0.12643656851374957,0.011079877632434348,-0.14482812761891173,0.14482812761891173
price_per_kw,,-0.1261223353941867,0.010766224745322144,-0.14464371156646186,0.14464371156646186
wltp_consumption_kwh_100km,-0.1442374502764697,-0.024359740388191845,0.05300323461263356,0.005910440233028445,0.1442374502764697
door_count,0.14169846952289417,-0.04159369040954141,0.019694606026488544,-0.037393759905714696,0.14169846952289417
battery_charging_time_min,-0.041161782233582626,-0.1263393493124262,0.12580904011702165,0.0036435826034698494,0.1263393493124262
has_acc,-0.11751325531737165,-0.04868118822418096,0.05549437073555323,0.0051283354726311455,0.11751325531737165
price_per_range_km,,-0.05741787693272878,-0.03302612858000463,-0.1074377808688521,0.1074377808688521
has_full_service_history_clean,0.10108166434611449,-0.0361181039455122,-0.007722377887073203,-0.029538782889031143,0.10108166434611449
price_eur,,-0.0604068810218068,-0.02232193533746365,-0.09712526267463291,0.09712526267463291
has_city_range,0.041680178901197656,-0.08600338282353387,0.06120791249509207,-0.0880930681350159,0.0880930681350159
previous_owner_count,-0.0842160128441246,-0.056389794541354225,0.0658615904122462,-0.01245313255276145,0.0842160128441246
has_hud,0.08059435780793447,-0.030932519671903483,0.05578186525796793,-0.014960051887885227,0.08059435780793447
warranty_exists_clean,0.046372016917319514,0.014140444557187291,-0.05392746213523068,0.011272569991629282,0.05392746213523068
is_sportback,-0.027193092172419036,-0.03304154145869472,0.04965795832354035,-0.015082510621787308,0.04965795832354035
has_charging_time,-0.014007048546987042,-0.04829018817908026,0.0465315997886898,-0.0071211037749593755,0.04829018817908026
has_warranty_months,0.04630464208816105,-0.042280013818054386,0.047024260305627286,-0.03794219793707968,0.047024260305627286
seat_count,0.04509321538010372,-0.013517048054184492,-0.00965280186247115,-0.00872980811145475,0.04509321538010372
has_battery_info,-0.015033768704882813,-0.04155360786246832,0.04506523974592424,-0.020007304827158224,0.04506523974592424
has_pano,0.04224310220324011,0.018537601429215934,0.022638356169686014,0.023174012158842194,0.04224310220324011
is_conditional_price_clean,0.020553877081998136,0.022604992110548196,-0.036671767861945016,-0.028539610835644137,0.036671767861945016
seller_rating_stars,0.010051469810855784,0.009486704480529741,0.035918660349485765,0.01958687650078568,0.035918660349485765
seller_rating_count,-0.03551969083666926,0.02598280024591634,-0.033400189991917094,0.031939627730170124,0.03551969083666926
seller_has_rating,0.005449396351824029,0.02633693839534221,0.015292782332535101,0.032080585754566036,0.032080585754566036
