,feature,eta,target_spread,unique_count,non_null_rows,missing_pct
1,model_number_v2,0.7369280593068523,22682.5,5,2272,9.697933227344992
7,upholstery_material,0.2610728327379561,18761.0,6,2433,3.2988871224165344
16,has_ahk,0.22958869974705592,8410.0,2,2516,0.0
4,exterior_color,0.1860455856026421,24516.0,7,2467,1.9475357710651828
12,is_quattro,0.1680477244566494,3109.5,2,2516,0.0
19,has_camera,0.1652471865226669,4339.5,2,2516,0.0
13,is_s_line,0.15036389894274002,3995.0,2,2516,0.0
14,has_matrix,0.13294175064219688,4425.0,2,2516,0.0
18,has_acc,0.12314972545636425,3681.5,2,2516,0.0
10,has_full_service_history_clean,0.09042526677304087,3510.0,2,2478,1.5103338632750398
5,paint_type,0.08820114519940232,2140.0,2,2162,14.069952305246423
6,interior_color,0.08673009744296797,22660.0,7,2429,3.457869634340222
17,has_hud,0.06569162471456899,3950.0,2,2516,0.0
2,seller_type,0.052902921246876594,2400.0,2,2516,0.0
15,has_pano,0.052739595648796364,890.0,2,2516,0.0
