,spearman_corr,abs_corr,non_null_pairs,missing_pct
event_sold_or_removed,-0.37284380517171545,0.37284380517171545,2516,0.0
battery_charging_time_min,0.12580904011702165,0.12580904011702165,140,94.4356120826709
previous_owner_count,0.0658615904122462,0.0658615904122462,2378,5.484896661367249
has_city_range,0.06120791249509207,0.06120791249509207,2516,0.0
vehicle_age_months,0.058978783404843325,0.058978783404843325,2446,2.7821939586645468
has_hud,0.05578186525796793,0.05578186525796793,2516,0.0
has_acc,0.05549437073555323,0.05549437073555323,2516,0.0
warranty_exists_clean,-0.05392746213523068,0.05392746213523068,2479,1.4705882352941175
wltp_consumption_kwh_100km,0.05300323461263356,0.05300323461263356,1008,59.93640699523053
is_sportback,0.04965795832354035,0.04965795832354035,2516,0.0
mileage_km,0.04792482351623979,0.04792482351623979,2513,0.11923688394276628
has_warranty_months,0.047024260305627286,0.047024260305627286,2516,0.0
has_charging_time,0.0465315997886898,0.0465315997886898,2516,0.0
has_battery_info,0.04506523974592424,0.04506523974592424,2516,0.0
warranty_months,-0.04400186455984978,0.04400186455984978,604,75.99364069952306
