,feature,cramers_v,target_spread,unique_count,non_null_rows,missing_pct
20,duplicate_listing_id,0.109244696580658,0.18490026478375993,2,2516,0.0
24,has_city_range,0.08582367417147072,0.20674652839859348,2,2516,0.0
7,upholstery_material,0.06265873771751121,0.3643410852713178,6,2433,3.2988871224165344
5,paint_type,0.042359083807746126,0.06794170541314482,2,2162,14.069952305246423
22,has_warranty_months,0.03228638331458187,0.04425517470697443,2,2516,0.0
21,seller_has_rating,0.02513564960996309,0.06093134002107814,2,2516,0.0
6,interior_color,0.02428325780675518,0.5714285714285714,7,2429,3.457869634340222
1,model_number_v2,0.022099936133200444,0.07839672173133566,5,2272,9.697933227344992
10,has_full_service_history_clean,0.021656751190978287,0.03886938682470936,2,2478,1.5103338632750398
8,is_conditional_price_clean,0.020422068992126348,0.29150066401062413,2,2516,0.0
19,has_camera,0.013034033022653178,0.029391472868217083,2,2516,0.0
15,has_pano,0.011809995049541815,0.0362619688809096,2,2516,0.0
2,seller_type,0.010636040327125628,0.08686370945748972,2,2516,0.0
4,exterior_color,0.007832240487421323,0.49411764705882355,7,2467,1.9475357710651828
3,body_type,0.0064183327222997405,0.5588235294117647,5,2479,1.4705882352941175
